[2026-07-02 11:12:29.883] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 183.22ms
[2026-07-02 11:12:30.148] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 212.07ms
[2026-07-02 11:12:30.391] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 187.51ms
[2026-07-02 11:12:30.639] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 193.91ms
[2026-07-02 11:12:30.887] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 190.46ms
[2026-07-02 11:12:31.140] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 199.97ms
[2026-07-02 11:12:31.381] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 184.65ms
[2026-07-02 11:12:31.621] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 184.17ms
[2026-07-02 11:12:31.848] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 173.57ms
[2026-07-02 11:12:32.225] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 321.10ms
[2026-07-02 11:12:32.486] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 207.01ms
[2026-07-02 11:12:32.739] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 197.79ms
[2026-07-02 11:12:33.006] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 212.88ms
[2026-07-02 11:12:33.252] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 190.66ms
[2026-07-02 11:12:33.504] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 197.57ms
[2026-07-02 11:12:33.750] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 190.50ms
[2026-07-02 11:12:33.984] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 181.44ms
[2026-07-02 11:12:34.241] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 201.06ms
[2026-07-02 11:12:34.481] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 184.67ms
[2026-07-02 11:12:34.743] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 210.13ms
[2026-07-02 11:12:34.990] Model: wave_model_v1 | Endpoint: /predict-sync | Waveforms: 1 | Latency: 192.40ms
[2026-07-02 11:12:35.324] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 271.43ms
[2026-07-02 11:12:35.648] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 265.03ms
[2026-07-02 11:12:35.948] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 241.81ms
[2026-07-02 11:12:36.269] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 262.24ms
[2026-07-02 11:12:36.572] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 240.31ms
[2026-07-02 11:12:36.892] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 263.08ms
[2026-07-02 11:12:37.331] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 378.95ms
[2026-07-02 11:12:37.650] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 261.02ms
[2026-07-02 11:12:37.956] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 245.65ms
[2026-07-02 11:12:38.284] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 269.04ms
[2026-07-02 11:12:38.602] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 258.19ms
[2026-07-02 11:12:38.910] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 250.28ms
[2026-07-02 11:12:39.239] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 269.00ms
[2026-07-02 11:12:39.547] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 248.27ms
[2026-07-02 11:12:39.867] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 260.13ms
[2026-07-02 11:12:40.189] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 260.91ms
[2026-07-02 11:12:40.499] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 251.66ms
[2026-07-02 11:12:40.804] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 243.27ms
[2026-07-02 11:12:41.117] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 255.09ms
[2026-07-02 11:12:41.432] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 10 | Latency: 257.24ms
[2026-07-02 11:12:42.030] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 514.37ms
[2026-07-02 11:12:42.654] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 542.28ms
[2026-07-02 11:12:43.275] Model: wave_model_v1 | Endpoint: /predict-batch-sync | Waveforms: 50 | Latency: 541.91ms
